scientific name,English name,number of people seeing species
Colibri serrirostris,White-vented Violetear,1
Androdon aequatorialis,Tooth-billed Hummingbird,2
Heliactin bilophus,Horned Sungem,1
Heliothryx barroti,Purple-crowned Fairy,21
Heliothryx auritus,Black-eared Fairy,4
Polytmus guainumbi,White-tailed Goldenthroat,1
Polytmus milleri,Tepui Goldenthroat,0
Polytmus theresiae,Green-tailed Goldenthroat,0
Avocettula recurvirostris,Fiery-tailed Awlbill,1
Chrysolampis mosquitus,Ruby-topaz Hummingbird,6
Anthracothorax viridigula,Green-throated Mango,2
Anthracothorax prevostii,Green-breasted Mango,20
Anthracothorax nigricollis,Black-throated Mango,14
Anthracothorax veraguensis,Veraguan Mango,2
Anthracothorax dominicus,Antillean Mango,7
Anthracothorax viridis,Green Mango,3
Anthracothorax mango,Jamaican Mango,1
Eulampis jugularis,Purple-throated Carib,1
Eulampis holosericeus,Green-throated Carib,5
Heliangelus mavors,Orange-throated Sunangel,1
Heliangelus amethysticollis,Amethyst-throated Sunangel,6
Heliangelus strophianus,Gorgeted Sunangel,4
Heliangelus exortis,Tourmaline Sunangel,5
Heliangelus micraster,Little Sunangel,3
Heliangelus viola,Purple-throated Sunangel,1
Heliangelus zusii,Bogota Sunangel,0
Heliangelus regalis,Royal Sunangel,1
Sephanoides sephaniodes,Green-backed Firecrown,4
Sephanoides fernandensis,Juan Fernandez Firecrown,0
Discosura popelairii,Wire-crested Thorntail,4
Discosura langsdorffi,Black-bellied Thorntail,1
Discosura letitiae,Coppery Thorntail,0
Discosura conversii,Green Thorntail,12
Discosura longicaudus,Racket-tailed Coquette,0
Lophornis ornatus,Tufted Coquette,2
Lophornis gouldii,Dot-eared Coquette,0
Lophornis magnificus,Frilled Coquette,1
Lophornis brachylophus,Short-crested Coquette,0
Lophornis delattrei,Rufous-crested Coquette,4
Lophornis stictolophus,Spangled Coquette,0
Lophornis chalybeus,Festive Coquette,4
Lophornis pavoninus,Peacock Coquette,0
Lophornis helenae,Black-crested Coquette,8
Lophornis adorabilis,White-crested Coquette,2
Phlogophilus hemileucurus,Ecuadorian Piedtail,4
Phlogophilus harterti,Peruvian Piedtail,0
Adelomyia melanogenys,Speckled Hummingbird,9
Aglaiocercus kingii,Long-tailed Sylph,9
Aglaiocercus coelestis,Violet-tailed Sylph,5
Aglaiocercus berlepschi,Venezuelan Sylph,0
Sappho sparganurus,Red-tailed Comet,3
Polyonymus caroli,Bronze-tailed Comet,2
Taphrolesbia griseiventris,Gray-bellied Comet,0
Oreotrochilus chimborazo,Ecuadorian Hillstar,4
Oreotrochilus estella,Andean Hillstar,3
Oreotrochilus leucopleurus,White-sided Hillstar,2
Oreotrochilus melanogaster,Black-breasted Hillstar,1
Oreotrochilus adela,Wedge-tailed Hillstar,0
Opisthoprora euryptera,Mountain Avocetbill,2
Lesbia victoriae,Black-tailed Trainbearer,11
Lesbia nuna,Green-tailed Trainbearer,4
Ramphomicron dorsale,Black-backed Thornbill,0
Ramphomicron microrhynchum,Purple-backed Thornbill,2
Chalcostigma ruficeps,Rufous-capped Thornbill,3
Chalcostigma olivaceum,Olivaceous Thornbill,0
Chalcostigma stanleyi,Blue-mantled Thornbill,4
Chalcostigma heteropogon,Bronze-tailed Thornbill,1
Chalcostigma herrani,Rainbow-bearded Thornbill,4
Oxypogon stubelii,Buffy Helmetcrest,1
Oxypogon cyanolaemus,Blue-bearded Helmetcrest,0
Oxypogon lindenii,White-bearded Helmetcrest,1
Oxypogon guerinii,Green-bearded Helmetcrest,2
Oreonympha nobilis,Bearded Mountaineer,2
Metallura iracunda,Perija Metaltail,1
Metallura tyrianthina,Tyrian Metaltail,10
Metallura williami,Viridian Metaltail,4
Metallura baroni,Violet-throated Metaltail,3
Metallura odomae,Neblina Metaltail,1
Metallura theresiae,Coppery Metaltail,1
Metallura eupogon,Fire-throated Metaltail,0
Metallura aeneocauda,Scaled Metaltail,1
Metallura phoebe,Black Metaltail,2
Haplophaedia aureliae,Greenish Puffleg,4
Haplophaedia assimilis,Buff-thighed Puffleg,1
Haplophaedia lugens,Hoary Puffleg,1
Eriocnemis nigrivestis,Black-breasted Puffleg,1
Eriocnemis isabellae,Gorgeted Puffleg,0
Eriocnemis vestita,Glowing Puffleg,5
Eriocnemis derbyi,Black-thighed Puffleg,1
Eriocnemis godini,Turquoise-throated Puffleg,0
Eriocnemis cupreoventris,Coppery-bellied Puffleg,1
Eriocnemis luciani,Sapphire-vented Puffleg,6
Eriocnemis mosquera,Golden-breasted Puffleg,5
Eriocnemis glaucopoides,Blue-capped Puffleg,0
Eriocnemis mirabilis,Colorful Puffleg,0
Eriocnemis aline,Emerald-bellied Puffleg,1
Loddigesia mirabilis,Marvelous Spatuletail,1
Aglaeactis cupripennis,Shining Sunbeam,7
Aglaeactis castelnaudii,White-tufted Sunbeam,1
Aglaeactis aliciae,Purple-backed Sunbeam,0
Aglaeactis pamela,Black-hooded Sunbeam,0
Coeligena coeligena,Bronzy Inca,5
Coeligena wilsoni,Brown Inca,5
Coeligena prunellei,Black Inca,0
Coeligena torquata,Collared Inca,8
Coeligena violifer,Violet-throated Starfrontlet,3
Coeligena iris,Rainbow Starfrontlet,3
Coeligena phalerata,White-tailed Starfrontlet,2
Coeligena orina,Dusky Starfrontlet,0
Coeligena lutetiae,Buff-winged Starfrontlet,6
Coeligena bonapartei,Golden-bellied Starfrontlet,2
Coeligena helianthea,Blue-throated Starfrontlet,1
Lafresnaya lafresnayi,Mountain Velvetbreast,5
Ensifera ensifera,Sword-billed Hummingbird,7
Pterophanes cyanopterus,Great Sapphirewing,8
Boissonneaua flavescens,Buff-tailed Coronet,6
Boissonneaua matthewsii,Chestnut-breasted Coronet,5
Boissonneaua jardini,Velvet-purple Coronet,5
Ocreatus underwoodii,Booted Racket-tail,10
Urochroa bougueri,Rufous-gaped Hillstar,3
Urochroa leucura,White-tailed Hillstar,3
Urosticte benjamini,Purple-bibbed Whitetip,5
Urosticte ruficrissa,Rufous-vented Whitetip,2
Heliodoxa xanthogonys,Velvet-browed Brilliant,0
Heliodoxa gularis,Pink-throated Brilliant,0
Heliodoxa branickii,Rufous-webbed Brilliant,0
Heliodoxa schreibersii,Black-throated Brilliant,5
Heliodoxa aurescens,Gould's Jewelfront,3
Heliodoxa rubinoides,Fawn-breasted Brilliant,7
Heliodoxa jacula,Green-crowned Brilliant,21
Heliodoxa imperatrix,Empress Brilliant,5
Heliodoxa leadbeateri,Violet-fronted Brilliant,6
Clytolaema rubricauda,Brazilian Ruby,0
Patagona gigas,Giant Hummingbird,8
Sternoclyta cyanopectus,Violet-chested Hummingbird,1
Hylonympha macrocerca,Scissor-tailed Hummingbird,0
Eugenes fulgens,Rivoli's Hummingbird,32
Eugenes spectabilis,Talamanca Hummingbird,13
Heliomaster longirostris,Long-billed Starthroat,17
Heliomaster constantii,Plain-capped Starthroat,11
Heliomaster squamosus,Stripe-breasted Starthroat,1
Heliomaster furcifer,Blue-tufted Starthroat,1
Panterpe insignis,Fiery-throated Hummingbird,14
Lampornis viridipallens,Green-throated Mountain-gem,5
Lampornis sybillae,Green-breasted Mountain-gem,1
Lampornis amethystinus,Amethyst-throated Hummingbird,4
Lampornis clemenciae,Blue-throated Hummingbird,28
Lampornis hemileucus,White-bellied Mountain-gem,9
Lampornis calolaemus,Purple-throated Mountain-gem,21
Lampornis castaneoventris,White-throated Mountain-gem,13
Lamprolaima rhami,Garnet-throated Hummingbird,4
Myrtis fanny,Purple-collared Woodstar,2
Eulidia yarrellii,Chilean Woodstar,0
Rhodopis vesper,Oasis Hummingbird,4
Thaumastura cora,Peruvian Sheartail,4
Chaetocercus mulsant,White-bellied Woodstar,6
Chaetocercus bombus,Little Woodstar,1
Chaetocercus heliodor,Gorgeted Woodstar,4
Chaetocercus astreans,Santa Marta Woodstar,2
Chaetocercus berlepschi,Esmeraldas Woodstar,1
Chaetocercus jourdanii,Rufous-shafted Woodstar,0
Myrmia micrura,Short-tailed Woodstar,2
Microstilbon burmeisteri,Slender-tailed Woodstar,0
Doricha enicura,Slender Sheartail,2
Doricha eliza,Mexican Sheartail,2
Tilmatura dupontii,Sparkling-tailed Hummingbird,2
Calothorax lucifer,Lucifer Hummingbird,24
Calothorax pulcher,Beautiful Hummingbird,1
Calliphlox evelynae,Bahama Woodstar,9
Calliphlox lyrura,Inagua Woodstar,0
Calliphlox bryantae,Magenta-throated Woodstar,10
Calliphlox mitchellii,Purple-throated Woodstar,5
Calliphlox amethystina,Amethyst Woodstar,3
Archilochus colubris,Ruby-throated Hummingbird,55
Archilochus alexandri,Black-chinned Hummingbird,43
Mellisuga minima,Vervain Hummingbird,5
Mellisuga helenae,Bee Hummingbird,2
Calypte anna,Anna's Hummingbird,49
Calypte costae,Costa's Hummingbird,33
Atthis heloisa,Bumblebee Hummingbird,3
Atthis ellioti,Wine-throated Hummingbird,2
Selasphorus platycercus,Broad-tailed Hummingbird,36
Selasphorus rufus,Rufous Hummingbird,49
Selasphorus sasin,Allen's Hummingbird,32
Selasphorus flammula,Volcano Hummingbird,12
Selasphorus ardens,Glow-throated Hummingbird,0
Selasphorus scintilla,Scintillant Hummingbird,11
Selasphorus calliope,Calliope Hummingbird,38
Chlorostilbon melanorhynchus,Western Emerald,7
Chlorostilbon gibsoni,Red-billed Emerald,4
Chlorostilbon mellisugus,Blue-tailed Emerald,5
Chlorostilbon auriceps,Golden-crowned Emerald,1
Chlorostilbon forficatus,Cozumel Emerald,2
Chlorostilbon canivetii,Canivet's Emerald,13
Chlorostilbon assimilis,Garden Emerald,4
Chlorostilbon olivaresi,Chiribiquete Emerald,0
Chlorostilbon ricordii,Cuban Emerald,6
Chlorostilbon bracei,Brace's Emerald,0
Chlorostilbon swainsonii,Hispaniolan Emerald,1
Chlorostilbon maugaeus,Puerto Rican Emerald,3
Chlorostilbon lucidus,Glittering-bellied Emerald,4
Chlorostilbon russatus,Coppery Emerald,2
Chlorostilbon stenurus,Narrow-tailed Emerald,0
Chlorostilbon alice,Green-tailed Emerald,0
Chlorostilbon poortmani,Short-tailed Emerald,0
Chlorestes notata,Blue-chinned Sapphire,1
Cynanthus sordidus,Dusky Hummingbird,2
Cynanthus latirostris,Broad-billed Hummingbird,34
Cyanophaia bicolor,Blue-headed Hummingbird,0
Orthorhyncus cristatus,Antillean Crested Hummingbird,8
Klais guimeti,Violet-headed Hummingbird,17
Abeillia abeillei,Emerald-chinned Hummingbird,5
Anthocephala floriceps,Santa Marta Blossomcrown,1
Anthocephala berlepschi,Tolima Blossomcrown,0
Stephanoxis lalandi,Green-crowned Plovercrest,0
Stephanoxis loddigesii,Purple-crowned Plovercrest,0
Phaeochroa cuvierii,Scaly-breasted Hummingbird,17
Campylopterus curvipennis,Wedge-tailed Sabrewing,9
Campylopterus excellens,Long-tailed Sabrewing,0
Campylopterus largipennis,Gray-breasted Sabrewing,4
Campylopterus calcirupicola,Dry-forest Sabrewing,0
Campylopterus rufus,Rufous Sabrewing,5
Campylopterus hemileucurus,Violet Sabrewing,24
Campylopterus hyperythrus,Rufous-breasted Sabrewing,0
Campylopterus ensipennis,White-tailed Sabrewing,1
Campylopterus falcatus,Lazuline Sabrewing,1
Campylopterus phainopeplus,Santa Marta Sabrewing,0
Campylopterus villaviscensio,Napo Sabrewing,1
Campylopterus duidae,Buff-breasted Sabrewing,0
Eupetomena macroura,Swallow-tailed Hummingbird,1
Chalybura buffonii,White-vented Plumeleteer,15
Chalybura urochrysia,Bronze-tailed Plumeleteer,13
Thalurania ridgwayi,Mexican Woodnymph,1
Thalurania colombica,Crowned Woodnymph,26
Thalurania furcata,Fork-tailed Woodnymph,9
Thalurania watertonii,Long-tailed Woodnymph,0
Thalurania glaucopis,Violet-capped Woodnymph,4
Eupherusa eximia,Stripe-tailed Hummingbird,18
Eupherusa cyanophrys,Blue-capped Hummingbird,1
Eupherusa poliocerca,White-tailed Hummingbird,0
Eupherusa nigriventris,Black-bellied Hummingbird,9
Elvira chionura,White-tailed Emerald,6
Elvira cupreiceps,Coppery-headed Emerald,18
Microchera albocoronata,Snowcap,10
Aphantochroa cirrochloris,Sombre Hummingbird,1
Taphrospilus hypostictus,Many-spotted Hummingbird,3
Leucochloris albicollis,White-throated Hummingbird,3
Leucippus fallax,Buffy Hummingbird,1
Leucippus baeri,Tumbes Hummingbird,2
Leucippus taczanowskii,Spot-throated Hummingbird,1
Leucippus chlorocercus,Olive-spotted Hummingbird,2
Amazilia chionogaster,White-bellied Hummingbird,3
Amazilia viridicauda,Green-and-white Hummingbird,2
Amazilia castaneiventris,Chestnut-bellied Hummingbird,0
Amazilia amazilia,Amazilia Hummingbird,5
Amazilia candida,White-bellied Emerald,15
Amazilia luciae,Honduran Emerald,1
Amazilia brevirostris,White-chested Emerald,3
Amazilia leucogaster,Plain-bellied Emerald,0
Amazilia versicolor,Versicolored Emerald,3
Amazilia franciae,Andean Emerald,8
Amazilia fimbriata,Glittering-throated Emerald,7
Amazilia lactea,Sapphire-spangled Emerald,5
Amazilia amabilis,Blue-chested Hummingbird,17
Amazilia decora,Charming Hummingbird,8
Amazilia rosenbergi,Purple-chested Hummingbird,3
Amazilia boucardi,Mangrove Hummingbird,7
Amazilia cyanocephala,Azure-crowned Hummingbird,9
Amazilia beryllina,Berylline Hummingbird,8
Amazilia cyanura,Blue-tailed Hummingbird,7
Amazilia saucerottei,Steely-vented Hummingbird,15
Amazilia cyanifrons,Indigo-capped Hummingbird,3
Amazilia edward,Snowy-bellied Hummingbird,13
Amazilia viridigaster,Green-bellied Hummingbird,0
Amazilia tzacatl,Rufous-tailed Hummingbird,33
Amazilia yucatanensis,Buff-bellied Hummingbird,32
Amazilia rutila,Cinnamon Hummingbird,24
Amazilia violiceps,Violet-crowned Hummingbird,30
Amazilia viridifrons,Green-fronted Hummingbird,1
Amazilia tobaci,Copper-rumped Hummingbird,2
Chrysuronia oenone,Golden-tailed Sapphire,7
Goethalsia bella,Pirre Hummingbird,0
Goldmania violiceps,Violet-capped Hummingbird,0
Trochilus polytmus,Streamertail,1
Lepidopyga coeruleogularis,Sapphire-throated Hummingbird,7
Lepidopyga lilliae,Sapphire-bellied Hummingbird,0
Lepidopyga goudoti,Shining-green Hummingbird,3
Juliamyia julie,Violet-bellied Hummingbird,12
Hylocharis humboldtii,Humboldt's Sapphire,0
Hylocharis eliciae,Blue-throated Goldentail,14
Hylocharis sapphirina,Rufous-throated Sapphire,2
Hylocharis cyanus,White-chinned Sapphire,4
Hylocharis chrysura,Gilded Hummingbird,2
Hylocharis grayi,Blue-headed Sapphire,1
Hylocharis leucotis,White-eared Hummingbird,14
Hylocharis xantusii,Xantus's Hummingbird,2
Opisthocomus hoazin,Hoatzin,9
Canirallus oculeus,Gray-throated Rail,0
Canirallus kioloides,Madagascar Wood-Rail,1
Canirallus beankaensis,Tsingy Wood-Rail,0
Sarothrura pulchra,White-spotted Flufftail,2
Sarothrura elegans,Buff-spotted Flufftail,2
Sarothrura rufa,Red-chested Flufftail,1
Sarothrura lugens,Chestnut-headed Flufftail,0
Sarothrura boehmi,Streaky-breasted Flufftail,0
Sarothrura affinis,Striped Flufftail,0
Sarothrura insularis,Madagascar Flufftail,1
Sarothrura ayresi,White-winged Flufftail,0
Sarothrura watersi,Slender-billed Flufftail,1
Rallus obsoletus,Ridgway's Rail,21
Rallus tenuirostris,Aztec Rail,1
Rallus longirostris,Mangrove Rail,2
Rallus elegans,King Rail,38
Rallus crepitans,Clapper Rail,44
Rallus wetmorei,Plain-flanked Rail,0
Rallus limicola,Virginia Rail,52
Rallus semiplumbeus,Bogota Rail,4
Rallus antarcticus,Austral Rail,0
Rallus aquaticus,Water Rail,15
Rallus indicus,Brown-cheeked Rail,2
Rallus caerulescens,African Rail,4
Rallus madagascariensis,Madagascar Rail,0
Dryolimnas cuvieri,White-throated Rail,1
Crex crex,Corn Crake,8
Crex egregia,African Crake,1
Rougetius rougetii,Rouget's Rail,2
Atlantisia rogersi,Inaccessible Island Rail,0
Aramidopsis plateni,Snoring Rail,0
Lewinia striata,Slaty-breasted Rail,4
Lewinia mirifica,Luzon Rail,0
Lewinia pectoralis,Lewin's Rail,1
Lewinia muelleri,Auckland Islands Rail,0
Gymnocrex rosenbergii,Blue-faced Rail,1
Gymnocrex plumbeiventris,Bare-eyed Rail,0
Gymnocrex talaudensis,Talaud Rail,0
Gallirallus calayanensis,Calayan Rail,0
Gallirallus wallacii,Invisible Rail,0
Gallirallus castaneoventris,Chestnut Rail,1
Gallirallus australis,Weka,1
Gallirallus lafresnayanus,New Caledonian Rail,0
Gallirallus sylvestris,Lord Howe Rail,0
Gallirallus okinawae,Okinawa Rail,0
Gallirallus pacificus,Tahiti Rail,0
Gallirallus philippensis,Buff-banded Rail,12
Gallirallus modestus,Chatham Islands Rail,0
Gallirallus dieffenbachii,Dieffenbach's Rail,0
Gallirallus insignis,New Britain Rail,0
Gallirallus woodfordi,Woodford's Rail,0
Gallirallus poecilopterus,Bar-winged Rail,0
Gallirallus owstoni,Guam Rail,0
Gallirallus wakensis,Wake Island Rail,0
Gallirallus torquatus,Barred Rail,6
Gallirallus rovianae,Roviana Rail,0
Mustelirallus albicollis,Ash-throated Crake,3
Mustelirallus colombianus,Colombian Crake,1
Mustelirallus erythrops,Paint-billed Crake,0
Cyanolimnas cerverai,Zapata Rail,0
Pardirallus maculatus,Spotted Rail,3
Pardirallus nigricans,Blackish Rail,3
Pardirallus sanguinolentus,Plumbeous Rail,6
Amaurolimnas concolor,Uniform Crake,6
Aramides ypecaha,Giant Wood-Rail,2
Aramides wolfi,Brown Wood-Rail,1
Aramides mangle,Little Wood-Rail,0
Aramides axillaris,Rufous-necked Wood-Rail,5
Aramides albiventris,Russet-naped Wood-Rail,21
Aramides cajaneus,Gray-cowled Wood-Rail,22
Aramides calopterus,Red-winged Wood-Rail,1
Aramides saracura,Slaty-breasted Wood-Rail,1
Tribonyx ventralis,Black-tailed Nativehen,4
Tribonyx mortierii,Tasmanian Nativehen,1
Porphyriops melanops,Spot-flanked Gallinule,3
Porzana carolina,Sora,55
Porzana porzana,Spotted Crake,2
Porzana fluminea,Australian Crake,4
Porzana spiloptera,Dot-winged Crake,0
Gallinula silvestris,Makira Moorhen,0
Gallinula nesiotis,Tristan Moorhen,0
Gallinula chloropus,Eurasian Moorhen,39
Gallinula galeata,Common Gallinule,51
Gallinula tenebrosa,Dusky Moorhen,12
Gallinula angulata,Lesser Moorhen,2
Gallinula pacifica,Samoan Moorhen,0
Fulica rufifrons,Red-fronted Coot,2
Fulica cornuta,Horned Coot,1
Fulica gigantea,Giant Coot,4
Fulica armillata,Red-gartered Coot,4
Fulica atra,Eurasian Coot,39
Fulica cristata,Red-knobbed Coot,13
Fulica alai,Hawaiian Coot,14
Fulica americana,American Coot,56
Fulica ardesiaca,Slate-colored Coot,7
Fulica leucoptera,White-winged Coot,4
Porphyrio alleni,Allen's Gallinule,1
Porphyrio martinica,Purple Gallinule,44
Porphyrio flavirostris,Azure Gallinule,1
Porphyrio porphyrio,Western Swamphen,7
Porphyrio indicus,Black-backed Swamphen,2
Porphyrio madagascariensis,African Swamphen,9
Porphyrio hochstetteri,South Island Takahe,1
Porphyrio mantelli,North Island Takahe,0
Porphyrio melanotus,Australasian Swamphen,12
Porphyrio pulverulentus,Philippine Swamphen,2
Porphyrio albus,Lord Howe Swamphen,0
Porphyrio poliocephalus,Gray-headed Swamphen,26
Himantornis haematopus,Nkulengu Rail,0
Megacrex inepta,New Guinea Flightless Rail,1
Gallicrex cinerea,Watercock,6
Amaurornis isabellina,Isabelline Bush-hen,2
Amaurornis olivacea,Plain Bush-hen,2
Amaurornis phoenicurus,White-breasted Waterhen,14
Amaurornis magnirostris,Talaud Bush-hen,0
Amaurornis moluccana,Rufous-tailed Bush-hen,2
Amaurornis cinerea,White-browed Crake,9
Amaurornis marginalis,Striped Crake,0
Rallina rubra,Chestnut Forest-Rail,1
Rallina leucospila,White-striped Forest-Rail,0
Rallina forbesi,Forbes's Rail,0
Rallina mayri,Mayr's Rail,0
Rallina tricolor,Red-necked Crake,3
Rallina canningi,Andaman Crake,1
Rallina fasciata,Red-legged Crake,4
Rallina eurizonoides,Slaty-legged Crake,1
Zapornia fusca,Ruddy-breasted Crake,7
Zapornia paykullii,Band-bellied Crake,1
Zapornia akool,Brown Crake,5
Zapornia flavirostra,Black Crake,14
Zapornia parva,Little Crake,7
Zapornia pusilla,Baillon's Crake,6
Zapornia palmeri,Laysan Rail,0
Zapornia olivieri,Sakalava Rail,0
Zapornia bicolor,Black-tailed Crake,1
Zapornia sandwichensis,Hawaiian Rail,0
Zapornia atra,Henderson Island Crake,0
Zapornia tabuensis,Spotless Crake,3
Zapornia monasa,Kosrae Crake,0
Micropygia schomburgkii,Ocellated Crake,1
Anurolimnas castaneiceps,Chestnut-headed Crake,1
Anurolimnas viridis,Russet-crowned Crake,1
Anurolimnas fasciatus,Black-banded Crake,2
Coturnicops exquisitus,Swinhoe's Rail,0
Coturnicops noveboracensis,Yellow Rail,14
Coturnicops notatus,Speckled Rail,0
Hapalocrex flaviventer,Yellow-breasted Crake,1
Laterallus levraudi,Rusty-flanked Crake,0
Laterallus melanophaius,Rufous-sided Crake,5
Laterallus ruber,Ruddy Crake,4
Laterallus albigularis,White-throated Crake,18
Laterallus exilis,Gray-breasted Crake,4
Laterallus spilonota,Galapagos Rail,0
Laterallus jamaicensis,Black Rail,18
Laterallus leucopyrrhus,Red-and-white Crake,0
Laterallus xenopterus,Rufous-faced Crake,0
Podica senegalensis,African Finfoot,5
Heliopais personatus,Masked Finfoot,0
Heliornis fulica,Sungrebe,14
Aramus guarauna,Limpkin,42
Psophia crepitans,Gray-winged Trumpeter,1
Psophia leucoptera,Pale-winged Trumpeter,3
Psophia viridis,Dark-winged Trumpeter,0
Balearica regulorum,Gray Crowned-Crane,7
Balearica pavonina,Black Crowned-Crane,2
Anthropoides virgo,Demoiselle Crane,2
Anthropoides paradiseus,Blue Crane,1
Bugeranus carunculatus,Wattled Crane,4
Leucogeranus leucogeranus,Siberian Crane,1
Antigone canadensis,Sandhill Crane,55
Antigone antigone,Sarus Crane,8
Antigone rubicunda,Brolga,8
Antigone vipio,White-naped Crane,3
Grus grus,Common Crane,17
Grus monacha,Hooded Crane,3
Grus americana,Whooping Crane,29
Grus nigricollis,Black-necked Crane,2
Grus japonensis,Red-crowned Crane,0
Chionis albus,Snowy Sheathbill,4
Chionis minor,Black-faced Sheathbill,0
Pluvianellus socialis,Magellanic Plover,0
Burhinus vermiculatus,Water Thick-knee,10
Burhinus oedicnemus,Eurasian Thick-knee,10
Burhinus indicus,Indian Thick-knee,4
Burhinus senegalensis,Senegal Thick-knee,5
Burhinus capensis,Spotted Thick-knee,10
Burhinus bistriatus,Double-striped Thick-knee,11
Burhinus superciliaris,Peruvian Thick-knee,2
Burhinus grallarius,Bush Thick-knee,9
Esacus recurvirostris,Great Thick-knee,4
Esacus magnirostris,Beach Thick-knee,7
Pluvianus aegyptius,Egyptian Plover,4
Himantopus himantopus,Black-winged Stilt,31
Himantopus leucocephalus,Pied Stilt,10
Himantopus novaezelandiae,Black Stilt,0
Himantopus mexicanus,Black-necked Stilt,53
Cladorhynchus leucocephalus,Banded Stilt,4
Recurvirostra avosetta,Pied Avocet,27
Recurvirostra novaehollandiae,Red-necked Avocet,9
Recurvirostra andina,Andean Avocet,4
Recurvirostra americana,American Avocet,52
Ibidorhyncha struthersii,Ibisbill,3
Haematopus ostralegus,Eurasian Oystercatcher,21
Haematopus longirostris,Pied Oystercatcher,11
Haematopus finschi,South Island Oystercatcher,3
Haematopus chathamensis,Chatham Oystercatcher,0
Haematopus unicolor,Variable Oystercatcher,3
Haematopus fuliginosus,Sooty Oystercatcher,8
Haematopus palliatus,American Oystercatcher,48
Haematopus moquini,African Oystercatcher,6
Haematopus meadewaldoi,Canarian Oystercatcher,0
Haematopus ater,Blackish Oystercatcher,7
Haematopus leucopodus,Magellanic Oystercatcher,5
Haematopus bachmani,Black Oystercatcher,41
Pluvialis squatarola,Black-bellied Plover,58
Pluvialis apricaria,European Golden-Plover,11
Pluvialis dominica,American Golden-Plover,47
Pluvialis fulva,Pacific Golden-Plover,25
Oreopholus ruficollis,Tawny-throated Dotterel,3
Vanellus vanellus,Northern Lapwing,27
Vanellus crassirostris,Long-toed Lapwing,4
Vanellus armatus,Blacksmith Lapwing,13
Vanellus spinosus,Spur-winged Lapwing,17
Vanellus duvaucelii,River Lapwing,5
Vanellus malabaricus,Yellow-wattled Lapwing,3
Vanellus tectus,Black-headed Lapwing,3
Vanellus albiceps,White-headed Lapwing,7
Vanellus lugubris,Senegal Lapwing,4
Vanellus melanopterus,Black-winged Lapwing,4
Vanellus coronatus,Crowned Lapwing,13
Vanellus senegallus,Wattled Lapwing,10
Vanellus melanocephalus,Spot-breasted Lapwing,2
Vanellus superciliosus,Brown-chested Lapwing,0
Vanellus cinereus,Gray-headed Lapwing,9
Vanellus indicus,Red-wattled Lapwing,13
Vanellus macropterus,Javan Lapwing,0
Vanellus tricolor,Banded Lapwing,7
Vanellus miles,Masked Lapwing,12
Vanellus gregarius,Sociable Lapwing,1
Vanellus leucurus,White-tailed Lapwing,3
Vanellus cayanus,Pied Lapwing,5
Vanellus chilensis,Southern Lapwing,24
Vanellus resplendens,Andean Lapwing,8
Charadrius obscurus,Red-breasted Dotterel,1
Charadrius mongolus,Lesser Sand-Plover,19
Charadrius leschenaultii,Greater Sand-Plover,18
Charadrius asiaticus,Caspian Plover,3
Charadrius collaris,Collared Plover,11
Charadrius alticola,Puna Plover,5
Charadrius falklandicus,Two-banded Plover,4
Charadrius bicinctus,Double-banded Plover,3
Charadrius pecuarius,Kittlitz's Plover,8
Charadrius ruficapillus,Red-capped Plover,10
Charadrius peronii,Malaysian Plover,6
Charadrius alexandrinus,Kentish Plover,24
Charadrius nivosus,Snowy Plover,39
Charadrius javanicus,Javan Plover,2
Charadrius wilsonia,Wilson's Plover,38
Charadrius hiaticula,Common Ringed Plover,22
Charadrius semipalmatus,Semipalmated Plover,56
Charadrius placidus,Long-billed Plover,5
Charadrius melodus,Piping Plover,49
Charadrius thoracicus,Madagascar Plover,0
Charadrius dubius,Little Ringed Plover,28
Charadrius tricollaris,Three-banded Plover,11
Charadrius forbesi,Forbes's Plover,0
Charadrius marginatus,White-fronted Plover,7
Charadrius pallidus,Chestnut-banded Plover,3
Charadrius vociferus,Killdeer,56
Charadrius montanus,Mountain Plover,25
Charadrius veredus,Oriental Plover,2
Charadrius morinellus,Eurasian Dotterel,2
Charadrius sanctaehelenae,St. Helena Plover,0
Charadrius modestus,Rufous-chested Dotterel,3
Erythrogonys cinctus,Red-kneed Dotterel,7
Thinornis cucullatus,Hooded Plover,4
Thinornis novaeseelandiae,Shore Plover,0
Elseyornis melanops,Black-fronted Dotterel,7
Peltohyas australis,Inland Dotterel,2
Anarhynchus frontalis,Wrybill,1
Phegornis mitchellii,Diademed Sandpiper-Plover,2
Pedionomus torquatus,Plains-wanderer,2
Attagis gayi,Rufous-bellied Seedsnipe,2
Attagis malouinus,White-bellied Seedsnipe,1
Thinocorus orbignyianus,Gray-breasted Seedsnipe,5
Thinocorus rumicivorus,Least Seedsnipe,5
Rostratula benghalensis,Greater Painted-Snipe,8
Rostratula australis,Australian Painted-Snipe,0
Nycticryphes semicollaris,South American Painted-Snipe,0
Microparra capensis,Lesser Jacana,4
Actophilornis africanus,African Jacana,13
Actophilornis albinucha,Madagascar Jacana,0
Irediparra gallinacea,Comb-crested Jacana,9
Hydrophasianus chirurgus,Pheasant-tailed Jacana,10
Metopidius indicus,Bronze-winged Jacana,10
Jacana spinosa,Northern Jacana,29
Jacana jacana,Wattled Jacana,20
Bartramia longicauda,Upland Sandpiper,40
